Scenario;Country;Indicator;Energy_Type;2023;2030;2050;;;;
APS;United States;LCOE (USD/MWh);Coal;185;n.a.;n.a.;;;;
APS;United States;LCOE (USD/MWh);Gas CCGT;80;130;n.a.;;;;
APS;United States;LCOE (USD/MWh);Solar PV;55;35;25;;;;
APS;United States;LCOE (USD/MWh);Wind onshore;40;35;35;;;;
APS;United States;LCOE (USD/MWh);Wind offshore;125;75;50;;;;
APS;European Union;Capital costs (USD/kW);Nuclear;6600;5100;4500;;;;
APS;European Union;Capital costs (USD/kW);Coal;2000;2000;2000;;;;
APS;European Union;Capital costs (USD/kW);Gas CCGT;1000;1000;1000;;;;
APS;European Union;Capital costs (USD/kW);Solar PV;750;460;330;;;;
APS;European Union;Capital costs (USD/kW);Wind onshore;1630;1540;770;;;;
APS;European Union;Capital costs (USD/kW);Wind offshore;3120;2200;1500;;;;
APS;European Union;Capacity factor  (%);Nuclear;70;75;75;;;;
APS;European Union;Capacity factor  (%);Coal;15;n.a.;n.a.;;;;
APS;European Union;Capacity factor  (%);Gas CCGT;25;15;n.a.;;;;
APS;European Union;Capacity factor  (%);Solar PV;14;14;14;;;;
APS;European Union;Capacity factor  (%);Wind onshore;29;30;30;;;;
APS;European Union;Capacity factor  (%);Wind offshore;50;55;56;;;;
APS;European Union;Fuel, CO₂, O&M (USD/MWh);Nuclear;35;35;35;;;;
APS;European Union;Fuel, CO₂, O&M (USD/MWh);Coal;155;175;210;;;;
APS;European Union;Fuel, CO₂, O&M (USD/MWh);Gas CCGT;120;100;110;;;;
APS;European Union;Fuel, CO₂, O&M (USD/MWh);Solar PV;10;10;10;;;;
APS;European Union;Fuel, CO₂, O&M (USD/MWh);Wind onshore;15;15;10;;;;
APS;European Union;Fuel, CO₂, O&M (USD/MWh);Wind offshore;15;10;10;;;;
APS;European Union;LCOE (USD/MWh);Nuclear;170;140;120;;;;
APS;European Union;LCOE (USD/MWh);Coal;315;n.a.;n.a.;;;;
APS;European Union;LCOE (USD/MWh);Gas CCGT;175;185;n.a.;;;;
APS;European Union;LCOE (USD/MWh);Solar PV;50;35;25;;;;
APS;European Union;LCOE (USD/MWh);Wind onshore;60;55;30;;;;
APS;European Union;LCOE (USD/MWh);Wind offshore;70;45;30;;;;
APS;China;Capital costs (USD/kW);Nuclear;2800;2800;2500;;;;
APS;China;Capital costs (USD/kW);Coal;800;800;800;;;;
APS;China;Capital costs (USD/kW);Gas CCGT;560;560;560;;;;
APS;China;Capital costs (USD/kW);Solar PV;670;400;270;;;;
APS;China;Capital costs (USD/kW);Wind onshore;990;930;880;;;;
APS;China;Capital costs (USD/kW);Wind offshore;2380;1660;1140;;;;
APS;China;Capacity factor  (%);Nuclear;80;70;70;;;;
APS;China;Capacity factor  (%);Coal;55;30;10;;;;
APS;China;Capacity factor  (%);Gas CCGT;35;25;10;;;;
APS;China;Capacity factor  (%);Solar PV;13;13;13;;;;
APS;China;Capacity factor  (%);Wind onshore;24;25;26;;;;
APS;China;Capacity factor  (%);Wind offshore;32;37;40;;;;
APS;China;Fuel, CO₂, O&M (USD/MWh);Nuclear;30;30;30;;;;
APS;China;Fuel, CO₂, O&M (USD/MWh);Coal;60;85;150;;;;
APS;China;Fuel, CO₂, O&M (USD/MWh);Gas CCGT;80;80;105;;;;
APS;China;Fuel, CO₂, O&M (USD/MWh);Solar PV;10;10;5;;;;
APS;China;Fuel, CO₂, O&M (USD/MWh);Wind onshore;10;10;10;;;;
APS;China;Fuel, CO₂, O&M (USD/MWh);Wind offshore;20;15;10;;;;
APS;China;LCOE (USD/MWh);Nuclear;75;80;75;;;;
APS;China;LCOE (USD/MWh);Coal;80;120;250;;;;
APS;China;LCOE (USD/MWh);Gas CCGT;100;105;170;;;;
APS;China;LCOE (USD/MWh);Solar PV;50;30;25;;;;
APS;China;LCOE (USD/MWh);Wind onshore;45;40;35;;;;
APS;China;LCOE (USD/MWh);Wind offshore;90;55;35;;;;
APS;India;Capital costs (USD/kW);Nuclear;2800;2800;2800;;;;
APS;India;Capital costs (USD/kW);Coal;1200;1200;1200;;;;
APS;India;Capital costs (USD/kW);Gas CCGT;700;700;700;;;;
APS;India;Capital costs (USD/kW);Solar PV;710;430;290;;;;
APS;India;Capital costs (USD/kW);Wind onshore;1210;1140;1060;;;;
APS;India;Capital costs (USD/kW);Wind offshore;2620;1900;1220;;;;
APS;India;Capacity factor  (%);Nuclear;75;85;90;;;;
APS;India;Capacity factor  (%);Coal;70;70;45;;;;
APS;India;Capacity factor  (%);Gas CCGT;25;30;20;;;;
APS;India;Capacity factor  (%);Solar PV;20;21;22;;;;
APS;India;Capacity factor  (%);Wind onshore;26;28;30;;;;
APS;India;Capacity factor  (%);Wind offshore;33;36;39;;;;
APS;India;Fuel, CO₂, O&M (USD/MWh);Nuclear;30;30;30;;;;
APS;India;Fuel, CO₂, O&M (USD/MWh);Coal;40;65;165;;;;
APS;India;Fuel, CO₂, O&M (USD/MWh);Gas CCGT;110;75;115;;;;
APS;India;Fuel, CO₂, O&M (USD/MWh);Solar PV;5;5;5;;;;
APS;India;Fuel, CO₂, O&M (USD/MWh);Wind onshore;15;10;10;;;;
APS;India;Fuel, CO₂, O&M (USD/MWh);Wind offshore;25;15;10;;;;
APS;India;LCOE (USD/MWh);Nuclear;75;70;70;;;;
APS;India;LCOE (USD/MWh);Coal;60;85;200;;;;
APS;India;LCOE (USD/MWh);Gas CCGT;140;105;160;;;;
APS;India;LCOE (USD/MWh);Solar PV;45;25;20;;;;
APS;India;LCOE (USD/MWh);Wind onshore;60;55;45;;;;
APS;India;LCOE (USD/MWh);Wind offshore;115;80;50;;;;
NZE;United States;Capital costs (USD/kW);Nuclear;5000;4800;4500;;;;
NZE;United States;Capital costs (USD/kW);Coal;2100;2100;2100;;;;
NZE;United States;Capital costs (USD/kW);Gas CCGT;1000;1000;1000;;;;
NZE;United States;Capital costs (USD/kW);Solar PV;1110;640;440;;;;
NZE;United States;Capital costs (USD/kW);Wind onshore;1500;1420;1320;;;;
NZE;United States;Capital costs (USD/kW);Wind offshore;4060;2560;1740;;;;
NZE;United States;Capacity factor  (%);Nuclear;90;90;85;;;;
NZE;United States;Capacity factor  (%);Coal;30;n.a.;n.a.;;;;
NZE;United States;Capacity factor  (%);Gas CCGT;60;35;n.a.;;;;
